Time,Source,Destination,Application,Protocol,Size,Risk
08:37:46,192.168.43.227,108.159.91.34,HTTPS Secure Traffic,TCP,66,LOW
08:37:47,108.159.91.34,192.168.43.227,HTTPS Secure Traffic,TCP,66,LOW
08:37:47,192.168.43.227,108.159.91.34,HTTPS Secure Traffic,TCP,54,LOW
08:37:47,192.168.43.227,108.159.91.34,HTTPS Secure Traffic,TCP,532,LOW
08:37:47,108.159.91.34,192.168.43.227,HTTPS Secure Traffic,TCP,54,LOW
08:37:47,108.159.91.34,192.168.43.227,HTTPS Secure Traffic,TCP,1404,LOW
08:37:47,108.159.91.34,192.168.43.227,HTTPS Secure Traffic,TCP,1404,LOW
08:37:47,192.168.43.227,108.159.91.34,HTTPS Secure Traffic,TCP,54,LOW
08:37:47,108.159.91.34,192.168.43.227,HTTPS Secure Traffic,TCP,1404,LOW
08:37:47,108.159.91.34,192.168.43.227,HTTPS Secure Traffic,TCP,876,LOW
08:37:47,192.168.43.227,108.159.91.34,HTTPS Secure Traffic,TCP,54,LOW
08:37:47,192.168.43.227,108.159.91.34,HTTPS Secure Traffic,TCP,60,LOW
08:37:47,108.159.91.34,192.168.43.227,HTTPS Secure Traffic,TCP,54,LOW
08:37:48,192.168.43.227,108.159.91.34,HTTPS Secure Traffic,TCP,128,LOW
08:37:48,192.168.43.227,108.159.91.34,HTTPS Secure Traffic,TCP,254,LOW
08:37:48,108.159.91.34,192.168.43.227,HTTPS Secure Traffic,TCP,54,LOW
08:37:48,108.159.91.34,192.168.43.227,HTTPS Secure Traffic,TCP,54,LOW
08:37:48,108.159.91.34,192.168.43.227,HTTPS Secure Traffic,TCP,233,LOW
08:37:48,108.159.91.34,192.168.43.227,HTTPS Secure Traffic,TCP,125,LOW
08:37:48,108.159.91.34,192.168.43.227,HTTPS Secure Traffic,TCP,9504,LOW
08:37:48,108.159.91.34,192.168.43.227,HTTPS Secure Traffic,TCP,1100,LOW
08:37:48,192.168.43.227,108.159.91.34,HTTPS Secure Traffic,TCP,54,LOW
08:37:48,192.168.43.227,108.159.91.34,HTTPS Secure Traffic,TCP,101,LOW
08:37:48,108.159.91.34,192.168.43.227,HTTPS Secure Traffic,TCP,54,LOW
08:37:49,192.168.43.227,108.159.91.34,HTTPS Secure Traffic,TCP,66,LOW
08:37:49,108.159.91.34,192.168.43.227,HTTPS Secure Traffic,TCP,66,LOW
08:37:49,192.168.43.227,108.159.91.34,HTTPS Secure Traffic,TCP,54,LOW
08:37:49,20.33.3.2,192.168.43.227,HTTPS Secure Traffic,TCP,54,LOW
08:37:49,192.168.43.227,20.33.3.2,Microsoft Services,TCP,54,LOW
08:37:49,192.168.43.227,108.159.91.34,HTTPS Secure Traffic,TCP,717,LOW
08:37:49,108.159.91.34,192.168.43.227,HTTPS Secure Traffic,TCP,54,LOW
08:37:49,108.159.91.34,192.168.43.227,HTTPS Secure Traffic,TCP,288,LOW
08:37:49,192.168.43.227,108.159.91.34,HTTPS Secure Traffic,TCP,60,LOW
08:37:49,192.168.43.227,108.159.91.34,HTTPS Secure Traffic,TCP,128,LOW
