Time,Source,Destination,Application,Protocol,Size,Risk
21:39:30,192.168.43.227,13.107.137.11,Microsoft Services,TCP,66,LOW
21:39:30,192.168.43.227,54.230.27.101,Netflix,TCP,66,LOW
21:39:30,192.168.43.227,54.230.27.101,Netflix,TCP,66,LOW
21:39:30,192.168.43.227,54.230.27.101,Netflix,TCP,66,LOW
21:39:30,192.168.43.227,54.230.27.101,Netflix,TCP,66,LOW
21:39:31,192.168.43.227,13.107.137.11,Microsoft Services,TCP,66,LOW
21:39:31,192.168.43.227,192.178.173.102,HTTPS Secure Traffic,TCP,66,LOW
21:39:32,192.168.43.227,192.178.173.102,HTTPS Secure Traffic,TCP,66,LOW
21:39:32,192.168.43.227,54.230.27.101,Netflix,TCP,66,LOW
21:39:32,192.168.43.227,54.230.27.101,Netflix,TCP,66,LOW
21:39:32,192.168.43.227,54.230.27.101,Netflix,TCP,66,LOW
21:39:32,192.168.43.227,54.230.27.101,Netflix,TCP,66,LOW
21:39:33,192.168.43.227,13.107.137.11,Microsoft Services,TCP,66,LOW
21:39:36,192.168.43.227,54.230.27.101,Netflix,TCP,66,LOW
21:39:36,192.168.43.227,54.230.27.101,Netflix,TCP,66,LOW
21:39:36,192.168.43.227,54.230.27.101,Netflix,TCP,66,LOW
21:39:36,192.168.43.227,54.230.27.101,Netflix,TCP,66,LOW
21:39:37,192.168.43.227,13.107.137.11,Microsoft Services,TCP,66,LOW
21:39:39,192.168.43.227,18.155.33.115,HTTPS Secure Traffic,TCP,66,LOW
21:39:39,192.168.43.227,192.178.173.102,HTTPS Secure Traffic,TCP,66,LOW
21:39:40,192.168.43.227,192.178.173.102,HTTPS Secure Traffic,TCP,66,MEDIUM
21:39:40,192.168.43.227,18.155.33.115,HTTPS Secure Traffic,TCP,66,MEDIUM
21:39:42,192.168.43.227,18.155.33.115,HTTPS Secure Traffic,TCP,66,MEDIUM
21:39:45,192.168.43.227,13.107.137.11,Microsoft Services,TCP,66,MEDIUM
21:39:45,192.168.43.227,192.178.173.138,HTTPS Secure Traffic,TCP,66,MEDIUM
21:39:46,192.168.43.227,192.178.173.138,HTTPS Secure Traffic,TCP,66,MEDIUM
21:39:46,192.168.43.227,18.155.33.115,HTTPS Secure Traffic,TCP,66,MEDIUM
21:39:46,192.168.43.227,192.178.173.138,HTTPS Secure Traffic,TCP,66,MEDIUM
21:39:47,192.168.43.227,192.178.173.138,HTTPS Secure Traffic,TCP,66,MEDIUM
21:39:48,192.168.43.227,192.178.173.138,HTTPS Secure Traffic,TCP,66,MEDIUM
21:39:49,192.168.43.227,192.178.173.138,HTTPS Secure Traffic,TCP,66,MEDIUM
21:39:52,192.168.43.227,13.107.137.11,Microsoft Services,TCP,66,MEDIUM
21:39:52,192.168.43.227,192.178.173.138,HTTPS Secure Traffic,TCP,66,MEDIUM
21:39:53,192.168.43.227,192.178.173.138,HTTPS Secure Traffic,TCP,66,MEDIUM
21:39:53,192.168.43.227,13.107.137.11,Microsoft Services,TCP,66,MEDIUM
21:39:55,192.168.43.227,13.107.137.11,Microsoft Services,TCP,66,MEDIUM
