===== DPI LOG STARTED =====
Started: 2026-06-23 08:37:31

08:37:46 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 66 bytes | LOW
08:37:47 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 66 bytes | LOW
08:37:47 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:47 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 532 bytes | LOW
08:37:47 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:47 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | LOW
08:37:47 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | LOW
08:37:47 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:47 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | LOW
08:37:47 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 876 bytes | LOW
08:37:47 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:47 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 60 bytes | LOW
08:37:47 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:48 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 128 bytes | LOW
08:37:48 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 254 bytes | LOW
08:37:48 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:48 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:48 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 233 bytes | LOW
08:37:48 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 125 bytes | LOW
08:37:48 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 9504 bytes | LOW
08:37:48 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1100 bytes | LOW
08:37:48 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:48 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 101 bytes | LOW
08:37:48 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:49 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 66 bytes | LOW
08:37:49 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 66 bytes | LOW
08:37:49 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:49 | 20.33.3.2 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:49 | 192.168.43.227 -> 20.33.3.2 | Microsoft Services | TCP | 54 bytes | LOW
08:37:49 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 717 bytes | LOW
08:37:49 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:49 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 288 bytes | LOW
08:37:49 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 60 bytes | LOW
08:37:49 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 128 bytes | LOW
08:37:49 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 272 bytes | LOW
08:37:49 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:49 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:49 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 233 bytes | LOW
08:37:49 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 116 bytes | LOW
08:37:49 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:49 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 101 bytes | LOW
